concert,place,location,latitude,longitude,year,date,playlist
Christmas Party 2014,San Donato Milanese (MI),Stoker - Restaurant & Cocktail Lounge,45.419184,9.254254,2014,21/12/2014,
Christmas Party 2015,San Donato Milanese (MI),Stoker - Restaurant & Cocktail Lounge,45.419184,9.254254,2015,20/12/2015,
50's Party,Landriano (PV),Cascina Bruciata - contea Del Sole,45.326125,9.258815,2016,11/06/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD""></iframe>"
Camilla's Degree Party,San Giuliano Milanese (MI),Rocca Brivio,45.370282,9.323205,2016,23/09/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQsx48wV5tLpmYbAA5BfW53""></iframe>"
Christmas Party 2016,Caleppio di Settala (MI),Dundee Pub,45.432414,9.378105,2016,18/12/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2""></iframe>"
Country Event 2017,Settimo Milanese (MI),Il Nuovo Boscaccio,45.468432,9.055407,2017,16/06/2017,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH""></iframe>"
Christmas Party 2017,Caleppio di Settala (MI),Dundee Pub,45.432414,9.378105,2017,17/12/2017,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN""></iframe>"
Halloween Party 2018,Caleppio di Settala (MI),Dundee Pub,45.432414,9.378105,2018,31/10/2018,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk""></iframe>"
Martina's 18th Birthday Party,Caleppio di Settala (MI),Dundee Pub,45.432414,9.378105,2018,02/12/2018,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPESAFz3ZRQ4gZTtYIvehRb3M""></iframe>"
Cristina's 50th Birthday Party,San Giuliano Milanese (MI),Rocca Brivio,45.370282,9.323205,2019,28/09/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI""></iframe>"
Palco Aperto Event 2019,Milano,Mare Culturale Urbano,45.468737,9.124025,2019,02/11/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQxp3qFIbmKmdEX7RGZU42B""></iframe>"
Christmas Party 2019,Caleppio di Settala (MI),Dundee Pub,45.432414,9.378105,2019,21/12/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPETya3CXmcudNLE0edFQ3307""></iframe>"
Laura's Birthday Party 2020,Milano,"Laura's House - Via Villapizzone, 26",45.500714,9.142845,2020,22/02/2020,
